product_name,cost_price,selling_price,optimised_price,price_change_pct,orig_profit_per_unit,new_profit_per_unit,profit_improvement_pct,estimated_orig_revenue,estimated_new_revenue,fuzzy_adjustment_pct,demand_score,satisfaction_score,margin_score
Magazine,294.0,355.08,433.76,22.16,61.08,139.76,128.81,58588.2,71570.4,14.772727272727273,1.7,7.0,1.72
Smart Watch,341.51,514.2,629.43,22.41,172.69,287.92,66.73,211850.4,259325.16,14.939279853918958,1.2,7.4,3.36
Desk Lamp,253.51,336.08,410.55,22.16,82.57,157.04,90.19,40329.6,49266.0,14.772727272727273,9.7,8.6,2.46
Protein Powder,671.55,1612.78,1833.91,13.71,941.23,1162.36,23.49,127409.62,144878.89,9.140911958783523,8.5,4.2,5.84
Winter Jacket,317.56,708.59,897.75,26.7,391.03,580.19,48.37,82905.03,105036.75,17.797119528658577,7.3,10.0,5.52
Bookshelf,260.7,517.95,650.95,25.68,257.25,390.25,51.7,238257.0,299437.0,17.118273658501895,4.7,6.8,4.97
Cable Organizer,457.02,1060.31,1286.22,21.31,603.29,829.2,37.45,449571.44,545357.28,14.204154564989011,2.6,5.6,5.69
Face Cream,155.69,346.43,438.86,26.68,190.74,283.17,48.46,147579.18,186954.36,17.787569836933695,2.4,9.4,5.51
Smart Plug,651.65,887.02,1083.58,22.16,235.37,431.93,83.51,95798.16,117026.64,14.772727272727273,3.3,8.4,2.65
Perfume,105.91,248.84,316.25,27.09,142.93,210.34,47.16,85600.96,108790.0,18.059963039111985,5.9,9.8,5.74
Mouse Pad,790.17,1465.83,1777.31,21.25,675.66,987.14,46.1,378184.14,458545.98,14.166250373798968,7.4,6.0,4.61
Lip Balm,629.18,1403.33,1777.96,26.7,774.15,1148.78,48.39,324169.23,410708.76,17.797119528658577,6.9,7.4,5.52
Cooking Oil,199.04,468.65,595.71,27.11,269.61,396.67,47.13,54363.4,69102.36,18.07442357753812,3.5,7.4,5.75
Rice (5kg),54.14,83.66,102.66,22.71,29.52,48.52,64.36,39905.82,48968.82,15.13991316210368,9.6,9.8,3.53
Extension Cord,661.6,829.69,920.96,11.0,168.09,259.36,54.3,85458.07,94858.88,7.33333333333333,7.6,4.4,2.03
Cable Organizer,580.14,823.28,973.99,18.31,243.14,393.85,61.98,129254.96,152916.43,12.204212666418922,6.0,5.8,2.95
Bluetooth Speaker,596.76,1013.27,1161.31,14.61,416.51,564.55,35.54,357684.31,409942.43,9.740287664695948,6.5,5.2,4.11
Children's Book,628.45,1411.01,1697.21,20.28,782.56,1068.76,36.57,572870.06,689067.26,13.5222977223285,4.8,5.6,5.55
Water Bottle,105.53,243.25,308.75,26.93,137.72,203.22,47.56,94381.0,119795.0,17.952374357224386,3.2,7.0,5.66
Desk Lamp,318.85,353.84,472.48,33.53,34.99,153.63,339.07,130920.8,174817.6,22.352459016393446,4.2,6.2,0.99
Sunglasses,136.9,248.48,305.45,22.93,111.58,168.55,51.06,84980.16,104463.9,15.284674991001044,7.8,6.4,4.49
Notebook,697.33,1174.57,1460.46,24.34,477.24,763.13,59.9,232564.86,289171.08,16.226869458377077,1.1,9.0,4.06
Coffee Beans,517.47,730.12,891.91,22.16,212.65,374.44,76.08,229257.68,280059.74,14.772727272727273,2.0,9.6,2.91
Phone Case,298.17,378.02,419.6,11.0,79.85,121.43,52.07,63129.34,70073.2,7.33333333333333,1.4,4.4,2.11
Face Cream,97.67,153.6,175.57,14.3,55.93,77.9,39.28,32563.2,37220.84,9.53356519068421,1.4,5.2,3.64
Dress,283.24,685.46,873.27,27.4,402.22,590.03,46.69,307771.54,392098.23,18.266383135579623,8.7,8.0,5.87
Sunglasses,293.89,456.26,547.58,20.01,162.37,253.69,56.24,78932.98,94731.34,13.343228769441113,7.3,6.2,3.56
Shampoo,597.2,1090.67,1287.15,18.01,493.47,689.95,39.82,532246.96,628129.2,12.010014747206057,5.3,5.6,4.52
Smart Watch,528.17,1100.83,1336.94,21.45,572.66,808.77,41.23,181636.95,220595.1,14.299148785245631,1.9,5.8,5.2
